,Player,PER 1st,PER 2nd,Win Shares 1st,Win Shares 2nd,Win Shares per 48 min 1st,Win Shares per 48 min 2nd,BPM 1st,BPM 2nd,VORP 1st,VORP 2nd,Win Shares(Col),Win Shares per 40 min(Col),Strength of Schedule(Col),Year Drafted
200,Rashad McCants,12.6,7.2,1.6,-0.3,0.057999999999999996,-0.023,-2.9,-4.4,-0.3,-0.3,5.0,0.23199999999999998,10.66,2005
201,Antoine Wright,0.7,8.1,-0.5,1.2,-0.062,0.049,-9.0,-3.4,-0.7,-0.4,5.9,0.225,5.19,2005
204,Hakim Warrick,11.0,15.9,0.8,3.7,0.053,0.08199999999999999,-5.5,-2.8,-0.6,-0.4,7.5,0.235,6.83,2005
205,Julius Hodge,4.2,14.0,-0.2,0.2,-0.21899999999999997,0.115,-6.9,-3.3,0.0,0.0,5.1,0.172,9.16,2005
206,Nate Robinson,12.6,15.2,1.5,3.2,0.046,0.114,-1.5,0.2,0.2,0.7,4.9,0.179,7.66,2005
207,Jarrett Jack,12.3,14.5,1.2,4.8,0.035,0.087,-3.6,-0.1,-0.7,1.3,6.1,0.222,9.78,2005
208,Francisco Garcia,10.3,11.7,1.6,2.4,0.06,0.08,-1.3,-0.6,0.2,0.5,7.5,0.247,6.18,2005
209,Luther Head,11.2,13.7,3.5,5.7,0.07200000000000001,0.12300000000000001,0.2,1.5,1.3,2.0,7.2,0.222,8.47,2005
210,Jason Maxiell,8.0,14.4,-0.2,1.8,-0.054000000000000006,0.091,-9.8,-2.0,-0.3,0.0,7.3,0.28300000000000003,6.74,2005
211,Linas Kleiza,13.2,11.1,1.2,2.8,0.111,0.09,-4.3,-2.3,-0.3,-0.1,3.0,0.115,9.24,2005
212,Wayne Simien,11.5,6.3,0.8,0.0,0.096,0.025,-4.5,-6.1,-0.3,-0.1,5.7,0.255,10.85,2005
213,David Lee,15.4,20.2,2.7,6.9,0.11599999999999999,0.191,0.4,3.8,0.7,2.5,5.0,0.225,7.12,2005
214,LaMarcus Aldridge,17.1,18.5,3.4,6.2,0.11800000000000001,0.113,-0.9,0.8,0.4,1.8,8.7,0.278,6.99,2006
215,Adam Morrison,7.9,5.7,-1.5,0.0,-0.03,0.001,-5.5,-5.5,-2.0,-0.6,6.8,0.225,5.02,2006
216,Tyrus Thomas,14.8,14.6,2.2,2.4,0.11,0.08800000000000001,0.1,-0.7,0.5,0.5,7.3,0.35100000000000003,8.77,2006
217,Shelden Williams,12.3,11.9,2.2,1.2,0.07,0.07200000000000001,-3.6,-5.0,-0.6,-0.6,9.1,0.305,8.77,2006
