,Player,sos,year,mp,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,ws_per_40,g,fg_per_min,fga_per_min,fg_pct,fg2_per_min,fg2a_per_min,fg2_pct,fg3_per_min,fg3a_per_min,fg3_pct,ft_per_min,fta_per_min,ft_pct,trb_per_min,ast_per_min,stl_per_min,blk_per_min,tov_per_min,pf_per_min,pts_per_min
371,Terrence Ross,5.27,2012,1088.0,0.5579999999999999,0.534,0.413,0.2,0.17800000000000002,35,7.9,17.3,0.457,5.3,10.1,0.518,2.6,7.1,0.371,2.6,3.5,0.7659999999999999,8.3,1.8,1.6,1.2,2.6,3.6,21.1
372,Andre Drummond,8.07,2012,967.0,0.509,0.5379999999999999,0.006999999999999999,0.301,0.121,34,6.5,12.1,0.5379999999999999,6.5,12.0,0.541,0.0,0.1,0.0,1.1,3.6,0.295,10.6,0.6,1.2,3.8,2.2,3.1,14.1
373,Austin Rivers,8.4,2012,1129.0,0.5379999999999999,0.505,0.396,0.45799999999999996,0.124,34,6.2,14.2,0.433,4.1,8.6,0.47700000000000004,2.1,5.6,0.365,4.3,6.5,0.6579999999999999,4.1,2.5,1.2,0.0,2.8,2.7,18.7
374,Meyers Leonard,7.99,2012,1018.0,0.618,0.586,0.038,0.436,0.182,32,6.7,11.4,0.584,6.6,11.0,0.604,0.0,0.4,0.091,3.7,5.0,0.732,10.3,1.7,0.6,2.4,2.7,3.7,17.1
375,Jeremy Lamb,8.07,2012,1266.0,0.589,0.556,0.465,0.267,0.165,34,6.9,14.3,0.478,4.6,7.7,0.601,2.2,6.7,0.336,3.1,3.8,0.81,5.2,1.8,1.3,0.7,2.1,1.8,19.1
376,Kendall Marshall,7.07,2012,1189.0,0.5579999999999999,0.529,0.35100000000000003,0.35100000000000003,0.147,36,3.5,7.6,0.467,2.6,4.9,0.527,0.9,2.7,0.354,1.9,2.7,0.696,3.2,11.8,1.4,0.2,3.4,1.9,9.9
378,Maurice Harkless,6.98,2012,1155.0,0.504,0.47200000000000003,0.185,0.326,0.109,32,6.7,14.8,0.452,6.1,12.1,0.506,0.6,2.7,0.215,3.3,4.8,0.6759999999999999,9.6,1.6,1.8,1.6,2.8,2.6,17.2
380,Terrence Jones,7.93,2012,1115.0,0.547,0.523,0.138,0.446,0.209,38,6.3,12.7,0.5,5.8,10.9,0.528,0.6,1.8,0.327,3.6,5.7,0.627,9.8,1.8,1.8,2.4,2.2,3.3,16.8
381,Andrew Nicholson,2.84,2012,962.0,0.638,0.601,0.138,0.429,0.24,32,9.1,16.0,0.5710000000000001,8.2,13.8,0.593,1.0,2.2,0.434,5.3,6.9,0.7759999999999999,11.2,1.4,0.9,2.6,3.3,3.7,24.6
382,Jared Sullinger,9.07,2012,1123.0,0.591,0.5379999999999999,0.091,0.519,0.28,37,8.1,15.6,0.519,7.6,14.2,0.531,0.6,1.4,0.4,6.2,8.1,0.768,12.1,1.6,1.5,1.4,2.5,3.9,23.0
383,John Jenkins,8.04,2012,1177.0,0.6559999999999999,0.62,0.6659999999999999,0.33399999999999996,0.223,35,7.4,15.6,0.474,2.8,5.2,0.542,4.6,10.4,0.439,4.4,5.2,0.8370000000000001,3.4,1.4,1.0,0.4,1.9,1.4,23.7
