Myles Turner,4.0,.213,9.07,2015
Trey Lyles,4.4,.213,8.67,2015
Devin Booker,4.5,.219,8.67,2015
Cameron Payne,7.3,.258,-2.81,2015
Kelly Oubre,3.4,.180,12.13,2015
Terry Rozier,6.0,.191,8.98,2015
Rashad Vaughn,2.5,.132,3.38,2015
Sam Dekker,7.0,.225,10.29,2015
Jerian Grant,7.7,.218,7.02,2015
Delon Wright,8.4,.289,7.42,2015
Justin Anderson,4.4,.241,7.81,2015
Bobby Portis,6.1,.227,6.79,2015
Rondae Hollis-Jefferson,5.9,.218,7.41,2015
Tyus Jones,6.5,.196,9.87,2015
Jarell Martin,5.1,.174,5.63,2015
Larry Nance Jr.,5.4,.199,-0.04,2015
R.J. Hunter,6.9,.215,-2.03,2015
Chris McCullough,1.4,.126,7.68,2015
Kevon Looney,4.8,.172,8.27,2015
Brandon Ingram,4.9,.157,10.59,2016
Jaylen Brown,2.7,.117,7.87,2016
Kris Dunn,4.5,.166,8.46,2016
Buddy Hield,7.6,.232,11.14,2016
Jamal Murray,6.1,.194,8.84,2016
Marquese Chriss,3.1,.148,8.12,2016
Jakob Poeltl,6.8,.251,8.79,2016
Domantas Sabonis,7.5,.260,4.23,2016
Taurean Prince,3.8,.148,9.76,2016
Denzel Valentine,7.3,.284,6.94,2016
Wade Baldwin,4.5,.179,8.68,2016
Henry Ellenson,4.0,.143,5.57,2016
Malik Beasley,4.0,.158,8.16,2016
Caris LeVert,2.8,.243,7.92,2016
DeAndre Bembry,5.8,.174,4.93,2016
Malachi Richardson,3.3,.104,9.75,2016
Brice Johnson,7.6,.272,10.69,2016
Pascal Siakam,7.8,.265,-3.54,2016
Skal Labissiere,2.0,.142,8.84,2016
Dejounte Murray,2.8,.098,8.12,2016
Damian Jones,3.8,.175,8.68,2016
